fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
F10,10.00,INR,0,0,0,1
F100,100.00,INR,0,0,0,1
F105,105.00,INR,0,0,0,1
F107,107.00,INR,0,0,0,1
F11,11.00,INR,0,0,0,1
F110,110.00,INR,0,0,0,1
F116.5,116.50,INR,0,0,0,1
F12,12.00,INR,0,0,0,1
F120,120.00,INR,0,0,0,1
F125,125.00,INR,0,0,0,1
F126.5,126.50,INR,0,0,0,1
F130,130.00,INR,0,0,0,1
F139.5,139.50,INR,0,0,0,1
F140,140.00,INR,0,0,0,1
F145,145.00,INR,0,0,0,1
F15,15.00,INR,0,0,0,1
F150,150.00,INR,0,0,0,1
F155,155.00,INR,0,0,0,1
F157,157.00,INR,0,0,0,1
F16,16.00,INR,0,0,0,1
F160,160.00,INR,0,0,0,1
F162,162.00,INR,0,0,0,1
F165,165.00,INR,0,0,0,1
F167,167.00,INR,0,0,0,1
F17,17.00,INR,0,0,0,1
F170,170.00,INR,0,0,0,1
F176.5,176.50,INR,0,0,0,1
F18,18.00,INR,0,0,0,1
F185,185.00,INR,0,0,0,1
F187,187.00,INR,0,0,0,1
F190,190.00,INR,0,0,0,1
F192,192.00,INR,0,0,0,1
F196.5,196.50,INR,0,0,0,1
F20,20.00,INR,0,0,0,1
F201.5,201.50,INR,0,0,0,1
F21,21.00,INR,0,0,0,1
F210,210.00,INR,0,0,0,1
F215,215.00,INR,0,0,0,1
F22,22.00,INR,0,0,0,1
F220,220.00,INR,0,0,0,1
F221.5,221.50,INR,0,0,0,1
F23,23.00,INR,0,0,0,1
F230,230.00,INR,0,0,0,1
F235,235.00,INR,0,0,0,1
F24,24.00,INR,0,0,0,1
F245,245.00,INR,0,0,0,1
F25,25.00,INR,0,0,0,1
F251.5,251.50,INR,0,0,0,1
F255,255.00,INR,0,0,0,1
F256.5,256.50,INR,0,0,0,1
F26,26.00,INR,0,0,0,1
F260,260.00,INR,0,0,0,1
F265,265.00,INR,0,0,0,1
F266.5,266.50,INR,0,0,0,1
F27,27.00,INR,0,0,0,1
F270,270.00,INR,0,0,0,1
F275,275.00,INR,0,0,0,1
F28,28.00,INR,0,0,0,1
F280,280.00,INR,0,0,0,1
F281.5,281.50,INR,0,0,0,1
F285,285.00,INR,0,0,0,1
F29,29.00,INR,0,0,0,1
F290,290.00,INR,0,0,0,1
F292,292.00,INR,0,0,0,1
F30,30.00,INR,0,0,0,1
F301.5,301.50,INR,0,0,0,1
F305,305.00,INR,0,0,0,1
F306.5,306.50,INR,0,0,0,1
F31,31.00,INR,0,0,0,1
F311.5,311.50,INR,0,0,0,1
F315,315.00,INR,0,0,0,1
F32,32.00,INR,0,0,0,1
F322,322.00,INR,0,0,0,1
F33,33.00,INR,0,0,0,1
F335,335.00,INR,0,0,0,1
F34,34.00,INR,0,0,0,1
F342,342.00,INR,0,0,0,1
F35,35.00,INR,0,0,0,1
F352,352.00,INR,0,0,0,1
F36,36.00,INR,0,0,0,1
F365,365.00,INR,0,0,0,1
F37,37.00,INR,0,0,0,1
F371.5,371.50,INR,0,0,0,1
F372,372.00,INR,0,0,0,1
F375,375.00,INR,0,0,0,1
F38,38.00,INR,0,0,0,1
F39,39.00,INR,0,0,0,1
F40,40.00,INR,0,0,0,1
F402,402.00,INR,0,0,0,1
F405,405.00,INR,0,0,0,1
F411.5,411.50,INR,0,0,0,1
F42,42.00,INR,0,0,0,1
F43,43.00,INR,0,0,0,1
F44,44.00,INR,0,0,0,1
F441.5,441.50,INR,0,0,0,1
F45,45.00,INR,0,0,0,1
F47,47.00,INR,0,0,0,1
F48,48.00,INR,0,0,0,1
F5,5.00,INR,0,0,0,1
F50,50.00,INR,0,0,0,1
F53,53.00,INR,0,0,0,1
F55,55.00,INR,0,0,0,1
F57,57.00,INR,0,0,0,1
F58,58.00,INR,0,0,0,1
F59,59.00,INR,0,0,0,1
F6,6.00,INR,0,0,0,1
F60,60.00,INR,0,0,0,1
F63,63.00,INR,0,0,0,1
F65,65.00,INR,0,0,0,1
F66.5,66.50,INR,0,0,0,1
F70,70.00,INR,0,0,0,1
F75,75.00,INR,0,0,0,1
F76.5,76.50,INR,0,0,0,1
F80,80.00,INR,0,0,0,1
F85,85.00,INR,0,0,0,1
F87,87.00,INR,0,0,0,1
F9,9.00,INR,0,0,0,1
F90,90.00,INR,0,0,0,1
F95,95.00,INR,0,0,0,1
F96.5,96.50,INR,0,0,0,1
