fare_id,route_id,origin_id,destination_id
F10,,BDD,D36G
F10,,BDD,TGDND1
F10,,BDD,VRSBVTP
F10,,BDDRS1,D36G
F10,,BDDRS1,TGDND1
F10,,BDDRS1,VRSBVTP
F10,,CRYNHL,CRYNHL
F10,,CRYNHL,JYTNR
F10,,CRYNHL,KLYG
F10,,CRYNHL,KLYMR
F10,,CRYNHL,MGD
F10,,CRYNHL,MGDSC
F10,,D36G,BDD
F10,,D36G,BDDRS1
F10,,D36G,KMPDG
F10,,D36G,MDNHL7
F10,,D36G,SMT2
F10,,GDHN,KRNHL
F10,,GDHN,SGHL78
F10,,JYTNR,CRYNHL
F10,,JYTNR,JYTNR
F10,,JYTNR,KLYG
F10,,JYTNR,KLYMR
F10,,JYTNR,MGD
F10,,JYTNR,MGDSC
F10,,KLR7,SVNSD
F10,,KLYG,CRYNHL
F10,,KLYG,JYTNR
F10,,KLYG,KLYG
F10,,KLYG,KLYMR
F10,,KLYG,MGD
F10,,KLYG,MGDSC
F10,,KLYMR,CRYNHL
F10,,KLYMR,JYTNR
F10,,KLYMR,KLYG
F10,,KLYMR,KLYMR
F10,,KLYMR,MGD
F10,,KLYMR,MGDSC
F10,,KMPDG,D36G
F10,,KMPDG,TGDND1
F10,,KMPDG,VRSBVTP
F10,,KRNHL,GDHN
F10,,MDNHL7,D36G
F10,,MGD,CRYNHL
F10,,MGD,JYTNR
F10,,MGD,KLYG
F10,,MGD,KLYMR
F10,,MGD,MGDSC
F10,,MGDSC,CRYNHL
F10,,MGDSC,JYTNR
F10,,MGDSC,KLYG
F10,,MGDSC,KLYMR
F10,,MGDSC,MGD
F10,,MGDSC,MGDSC
F10,,MLSDR7,MLSDR7
F10,,MLSDR7,MRR1
F10,,MLSDR7,MRRHP1
F10,,MLSDR7,SVNSD
F10,,MRR1,MLSDR7
F10,,MRR1,MRR1
F10,,MRR1,MRRHP1
F10,,MRR1,SVNSD
F10,,MRRHP1,MLSDR7
F10,,MRRHP1,MRR1
F10,,MRRHP1,MRRHP1
F10,,MRRHP1,SVNSD
F10,,SGHL78,GDHN
F10,,SMT2,D36G
F10,,SVNSD,KLR7
F10,,SVNSD,MLSDR7
F10,,SVNSD,MRR1
F10,,SVNSD,MRRHP1
F10,,TGDND1,BDD
F10,,TGDND1,BDDRS1
F10,,TGDND1,KMPDG
F10,,VRSBVTP,BDD
F10,,VRSBVTP,BDDRS1
F10,,VRSBVTP,KMPDG
F100,,ALRSA,BTLSUR
F100,,ALRSA,HNMHF
F100,,ALRSA,IAFF1
F100,,BTLSUR,ALRSA
F100,,HNMHF,ALRSA
F100,,IAFF1,ALRSA
F100,1698,AECSL-1,BTLSUR
F100,1698,AECSL-1,CKJLAF
F100,1698,AECSL-1,SDHG2
F100,1698,AIRTP,KDLGTE
F100,1698,AIRTP,MTHB-1
F100,1698,GRPI,BTLSUR
F100,1698,GRPI,CKJLAF
F100,1698,GRPI,HNMHF
F100,1698,HALAMG,CRKIA
F100,1698,HALAMG,DHFL
F100,1698,HALAMG,KIAL
F100,1698,HALPS1,CRKIA
F100,1698,HALPS1,DHFL
F100,1698,HALPS1,KIAL
F100,1698,KDLGTE,CRKIA
F100,1698,KDLGTE,DHFL
F100,1698,KDLGTE,KIAL
F100,1698,KIAL,HALAMG
F100,1698,KIAL,KDLGTE
F100,1698,KIAL,MRH
F100,1698,KIAL,MTHB-1
F100,1698,KIAT2,HALAMG
F100,1698,KIAT2,KDLGTE
F100,1698,KIAT2,MRH
F100,1698,KIAT2,MTHB-1
F100,1698,MRH,AIRTP
F100,1698,MRH,CRKIA
F100,1698,MRH,DHFL
F100,1698,MRH,KIAL
F100,1698,MTHB-1,AIRTP
F100,1698,MTHB-1,CRKIA
F100,1698,MTHB-1,DHFL
F100,1698,MTHB-1,KIAL
F100,1698,MTHB-1,SDHG2
F100,1698,NVYGT,KDLGTE
F100,1698,NVYGT,MTHB-1
F100,1698,WFTTMC,HNMHF
F100,1698,WFTTMC,IAFF1
F100,1698,WFTTMC,VNTF1
F100,1699,AIRTP,KDLGTE
F100,1699,AIRTP,MTHB-1
F100,1699,AIRTP,SDAPRA
F100,1699,HPOF,BTLSUR
F100,1699,HPOF,CKJLAF
F100,1699,HPOF,SDHG2
F100,1699,KDB-1,BTLSUR
F100,1699,KDB-1,CKJLAF
F100,1699,KDB-1,HNMHF
F100,1699,KDLGTE,CRKIA
F100,1699,KDLGTE,DHFL
F100,1699,KDLGTE,KIAL
F100,1699,KIAL,KDLGTE
F100,1699,KIAL,MRH
F100,1699,KIAL,MTHB-1
F100,1699,KIAT2,KDLGTE
F100,1699,KIAT2,MRH
F100,1699,KIAT2,MTHB-1
F100,1699,NVYGT,KDLGTE
F100,1699,NVYGT,MTHB-1
F100,1699,NVYGT,SDAPRA
F100,1699,SDAPRA,AIRTP
F100,1699,SDAPRA,CRKIA
F100,1699,SDAPRA,DHFL
