route_long_name,route_short_name,agency_id,route_type,route_id
2nd Stage 9th Block Nagarabhavi ⇔ Shivajinagara Bus Station,244-C VSD,1,3,3447
5th Block HBR Layout ⇔ Kalyananagara Bus Stand,KLN-HBR,1,3,7041
5th Block HBR Layout ⇔ Kempegowda Bus Station,296,1,3,2712
5th Block HBR Layout ⇔ Kempegowda Bus Station,296-B,1,3,4821
5th Block HBR Layout ⇔ Shivajinagara Bus Station,296-D,1,3,2809
8th Mile Dasarahalli ⇔ 8th Mile Dasarahalli,BC-7C,1,3,4673
8th Mile Dasarahalli ⇔ 8th Mile Dasarahalli,BC-7CA,1,3,4681
8th Mile Dasarahalli ⇔ 8th Mile Dasarahalli Arrival,250-DD,1,3,8574
8th Mile Dasarahalli ⇔ Depot-31 Gate,8THM-D31G,1,3,7674
8th Mile Dasarahalli ⇔ Depot-31 Gate,BC-7H D31G-8MYL,1,3,5985
8th Mile Dasarahalli ⇔ Jnanabharathi Metro Station (BUC Gate),515-B,1,3,8611
8th Mile Dasarahalli ⇔ Peenya 2nd Stage,BC-7B PSS-NLGH-8thM,1,3,6080
8th Mile Dasarahalli ⇔ Peenya 2nd Stage,PSS-NLGDH-8THM,1,3,7834
ADMC Quarters Office ⇔ Kempegowda Bus Station,300-H KBS-ADMC,1,3,7237
AECS Layout Singasandra ⇔ Banashankari Bus Station,600-A,1,3,8605
AECS Layout Singasandra ⇔ Koramangala Bus Station,347-K KRMBS-AECS,1,3,8541
AGS Layout Arehalli ⇔ Kempegowda Bus Station,45-D,1,3,1751
AGS Layout Arehalli ⇔ Shivajinagara Bus Station,13-H,1,3,1632
AGS Layout Cross ⇔ Kempegowda Bus Station,45-G AGSLC-KBS,1,3,7653
AGS Layout ⇔ Kempegowda Bus Station,234-F KBS-KMT-AGSLO,1,3,4865
ARMY PUBLIC SCHOOL (Parachute Regiment) ⇔ Kempegowda Bus Station,285 KBS-ARMYPR,1,3,7547
ARMY PUBLIC SCHOOL (Parachute Regiment) ⇔ Shivajinagara Bus Station,SBS-ARMYPR,1,3,7549
Abbigere ⇔ KR Market,271-A KMT-ABG,1,3,6909
Abbigere ⇔ KR Market,273-B KMT-ABG,1,3,4801
Abbigere ⇔ Kempegowda Bus Station,271-A,1,3,3906
Abbigere ⇔ Kempegowda Bus Station,271-A KBS-VSD-ABG,1,3,3908
Abbigere ⇔ Kempegowda Bus Station,273-B,1,3,4784
Abbigere ⇔ Peenya 2nd stage,270-D PSS-ABG,1,3,4759
Abbigere ⇔ Peenya 2nd stage,273-B PSS-ABG,1,3,4798
Abbigere ⇔ Peenya 2nd stage,401-AK ABG-PSS,1,3,3907
Abbigere ⇔ Shivajinagara Bus Station,270-D,1,3,4756
Abbigere ⇔ Summanahalli,248-U,1,3,7932
Acharya Institute of Technology ⇔ Chikkabidarakallu Metrto Station,MF-49,1,3,9195
Acharya Institute of Technology ⇔ KR Market,V-250SB,1,3,7616
Acharya Institute of Technology ⇔ Kempegowda Bus Station,V-KBS-AIT,1,3,7400
Adigara Kallahalli ⇔ KR Market (Kalasipalya),342-K,1,3,3257
Adigara Kallahalli ⇔ Kempegowda Bus Station,342-K KBS-ADK,1,3,8899
Aerospace Bagalur ⇔ Yelahanka Old Town,289 YHKOT-ARS,1,3,3725
Agara Junction ⇔ Agara Junction,HSR FDR-1,1,3,6438
Agara Junction ⇔ Agara Junction,HSR FDR-1A,1,3,6437
Agara ⇔ KR Market (Kalasipalya),212,1,3,1882
Agara ⇔ Kempegowda Bus Station,212-D,1,3,1901
Agrahara Layout ⇔ Kempegowda Bus Station,291-JA KBS-ALO,1,3,8284
Agrahara Layout ⇔ Shivajinagara Bus Station,290-T SBS-AGLO,1,3,1331
Air force Gate Ashwathnagara ⇔ Depot-14 Gate,D14G-AFG,1,3,8630
Air force Gate Ashwathnagara ⇔ Shivajinagara Bus Station,278-E  SBS-AFG,1,3,8632
Airtel office Koramangala ⇔ Koramangala Bus Station,KRMTTMC-ATO,1,3,8785
Ali Bommasandra ⇔ Depot-38 Gate,359-A D38G-ABS,1,3,8458
Ali Bommasandra ⇔ Kempegowda Bus Station,359-A,1,3,8041
Aliaskar Embassy ⇔ Shivajinagara Bus Station,SBS-AAE,1,3,8603
Allalasandra ⇔ KR Market,284-E,1,3,3702
Allalasandra ⇔ Kempegowda Bus Station,284-E ALS-KBS,1,3,3704
Allammanapalya ⇔ KR Market (Kalasipalya),227-L,1,3,1365
Aluru BDA 1st Stage ⇔ Kempegowda Bus Station,255-AC KBS-ALRBDA,1,3,8348
Aluru BDA 2nd Stage ⇔ Kempegowda Bus Station,255-AE,1,3,4089
Aluru BDA 2nd Stage ⇔ Kempegowda Bus Station,255-AE ALRB2-VSD-KBS,1,3,4145
Aluru ⇔ KR Market,257,1,3,2655
Alurupalya ⇔ Dasanapura,257-E DSP-ALR,1,3,3320
Alurupalya ⇔ Kempegowda Bus Station,257-E,1,3,3316
Amarajyothi Badavane ⇔ KR Market,415-E,1,3,3332
Amarajyothi Badavane ⇔ Kalyananagara Bus Stand,KLN-AJB,1,3,7040
Amarajyothi Badavane ⇔ Kempegowda Bus Station,415-H,1,3,3823
Amarajyothi Badavane ⇔ Kempegowda Bus Station,415-H KBS-VSD-AJB,1,3,6928
Amarajyothi Badavane ⇔ Kempegowda Bus Station,415-H KBS-VSD-MNP-AJB,1,3,6931
Ambalipura ⇔ KR Market,317-TH KMT-ABL,1,3,8672
Ambedkar Institute of Technology ⇔ Shivajinagara Bus Station,238-UA SBS-AIT,1,3,6640
Ambedkar Institute of Technology ⇔ Yeshawanthapura Bus Station,401-KB YTTMC-AIT,1,3,7031
Ambedkar Medical College Shampura ⇔ KR Market,291-E,1,3,4333
Ambedkar Medical College Shampura ⇔ Kalyananagara Bus Stand,KLN-DAMC,1,3,7097
Ambedkar Medical College Shampura ⇔ Shivajinagara Bus Station,291-E SBS-DAMC,1,3,8890
Amruthanagara ⇔ KR Market (Kalasipalya),215,1,3,1820
Anagalipura ⇔ Byrathi Bande,295-B BYB-D48G-AGP,1,3,5600
Anagalipura ⇔ Depot-48 Gate,294-D D48G-AGP,1,3,4838
Anagalipura ⇔ KR Market,294-D,1,3,5383
Anagalipura ⇔ Kempegowda Bus Station,295-B,1,3,4836
Anagalipura ⇔ Shivajinagara Bus Station,295-B SBS-AGP,1,3,7623
Anchipura Colony ⇔ Bidadi,226-S BDD-ANCP,1,3,6868
Anchipura Colony ⇔ KR Market (Kalasipalya),211-R,1,3,1883
Anchipura Colony ⇔ KR Market (Kalasipalya),226-S,1,3,1318
Andhrahalli ⇔ Jalahalli Cross,JHC-ADH,1,3,9262
Andhrahalli ⇔ Kempegowda Bus Station,252-RA KBS-TGP-ADH,1,3,9263
Anekal ⇔ Anjanapura 10th Block,365-P ANJ10TH-ANK,1,3,9371
Anekal ⇔ Attibele Bus Stand,399-G,1,3,7864
Anekal ⇔ Banashankari Bus Station,600-CA,1,3,2704
Anekal ⇔ Bommasandra Metro Station,MF-22D,1,3,8673
Anekal ⇔ Central Silk Board,600-CA ANK-CSB,1,3,7018
Anekal ⇔ Central Silk Board,O EXP-356KA CSB-ANK,1,3,9123
Anekal ⇔ Chandapura,356-Z,1,3,5331
Anekal ⇔ Depot-27 Gate,365-P D27-ANK,1,3,3749
Anekal ⇔ Depot-38 Gate,356-Z D38-ANK,1,3,3000
Anekal ⇔ Depot-38 Gate,356-Z D38G-ANKL,1,3,5168
Anekal ⇔ Depot-38 Gate,D38G-HLG-ANK,1,3,6493
Anekal ⇔ Depot-41 Gate,328-H D41G-ANK,1,3,8427
Anekal ⇔ Dommasandra,399-D,1,3,8502
Anekal ⇔ Hosakote Bus Stand (Old),399-F,1,3,3707
Anekal ⇔ KR Market (Kalasipalya),361-C,1,3,1004
Anekal ⇔ KR Market (Kalasipalya),361-C FLYOVER,1,3,2866
Anekal ⇔ KR Market (Kalasipalya),366-Z,1,3,2246
Anekal ⇔ Kadugodi Bus Station,399-F ANK-KDG,1,3,8141
Anekal ⇔ Kempegowda Bus Station,356-M,1,3,1020
Anekal ⇔ Kempegowda Bus Station,356-M KBS-ELCFLY-ANK,1,3,4884
Anekal ⇔ Kempegowda Bus Station,356-M KBS-SNBS-ANK,1,3,8040
Anekal ⇔ Kempegowda Bus Station,365-P,1,3,1068
Anekal ⇔ Kempegowda Bus Station,O EXP-356KA,1,3,8499
Anekal ⇔ Kempegowda Bus Station,V-356M,1,3,2154
Anekal ⇔ Kempegowda Bus Station,V-356M FLY,1,3,2155
Anekal ⇔ Kuguru,3F-5 ANK-KGR,1,3,6606
Anekal ⇔ Oxford Medical College Yadavanahalli,399-F OMS-ANK,1,3,6129
Anekal ⇔ Shivajinagara Bus Station,356-S,1,3,8724
Anjanamurty ⇔ KR Market,AJM-KMT,1,3,7373
Anjanapura 10th  Block ⇔ Depot-44 Anjanapura,D44-ANP10BLK,1,3,6229
Anjanapura 10th Block ⇔ Depot-44 Anjanapura,D44-ANP10,1,3,1818
Anjanapura 10th Block ⇔ KR Market (Kalasipalya),215 KMT-KKC-D44,1,3,1842
Anjanapura 10th Block ⇔ KR Market (Kalasipalya),215 KMT-KKC-D44G,1,3,4363
Anjanapura 10th Block ⇔ KR Market (Kalasipalya),367-B,1,3,2260
Anjanapura 10th Block ⇔ Kempegowda Bus Station,215 KBS-D44G,1,3,4362
Anjanapura 10th Block ⇔ Kempegowda Bus Station,215-NC,1,3,1819
Anjanapura 11th Block ⇔ KR Market (Kalasipalya),215-NE,1,3,2328
Anjanapura 2nd Block ⇔ Anjanapura 10th  Block,215-KA ANP10-ANP2,1,3,8886
Anjanapura 2nd Block ⇔ KR Market (Kalasipalya),215-BC,1,3,2308
Anjanapura 2nd Block ⇔ KR Market (Kalasipalya),215-KA,1,3,2307
Anjanapura ⇔ Banashankari Bus Station,215-BB,1,3,6658
Anjanapura ⇔ KR Market (Kalasipalya),215-K,1,3,1843
Anjanapura ⇔ Kempegowda Bus Station,215-N,1,3,2392
Anjanapura ⇔ Kempegowda Bus Station,215-ND,1,3,2330
Anjanapura ⇔ Shivajinagara Bus Station,215-U SBS-ANP,1,3,4397
Anna Kuteera Kathriguppe ⇔ Hampinagara RPC Layout,201-M HMNRPC-ANKT,1,3,8254
Annahalli ⇔ KR Market (Kalasipalya),226-VB,1,3,1335
Annahalli ⇔ KR Market (Kalasipalya),226-VC KMT-ANH,1,3,8617
Annapoorneshwarinagara (HGH) ⇔ Kempegowda Bus Station,252-RA,1,3,2836
Annapoorneshwarinagara ⇔ Kempegowda Bus Station,246,1,3,4749
Annapoorneshwarinagara ⇔ Kempegowda Bus Station,MBS-12 ANP-VSD-KBS,1,3,3836
Annapoorneshwarinagara ⇔ Peenya 2nd Stage,MBS-12 PSS-ANP,1,3,3831
Anugondanahalli ⇔ KR Market,304-N,1,3,2406
Anugondanahalli ⇔ KR Market,329-F,1,3,3798
Anugraha Badavane (Bilekahalli) ⇔ Kempegowda Bus Station,25-BA,1,3,8248
Aralalusandra ⇔ KR Market (Kalasipalya),213-M,1,3,1927
Aralimaradapalya ⇔ Depot-35 Gate,242-Y D35G-AMP,1,3,8512
Aralimaradapalya ⇔ Kempegowda Bus Station,242-Y,1,3,2898
