table_name,field_name,record_id,language,translation
stops,stop_name,34239,kn,ಪೆದ್ದನಪಾಳ್ಯ (ಟುವರ್ಡ್ಸ್  ಮಾಗಡಿ Road)
stops,stop_name,26805,kn,ತಲೆಗೆರೆ (ಟುವರ್ಡ್ಸ್  ಒ ಬಿ ಚೂಡನಹಳ್ಳಿ)
stops,stop_name,31827,kn,ವಡೇರಹಳ್ಳಿ (ಟುವರ್ಡ್ಸ್  ಒಬಿ ಚೂಡನಹಳ್ಳಿ)
stops,stop_name,37623,kn,ಬಿ ಚನ್ನಸಂದ್ರ ಬ್ರಿಡ್ಜ್ (ರಾಮಮೂರ್ತಿ ನಗರ ವರ್ತುಲ ರಸ್ತೆ) (ಟುವರ್ಡ್ಸ್  ಓಎಂಬಿಅರ್‌ ಬಡಾವಣೆ)
stops,stop_name,34681,kn,ಶ್ರೀನಿಧಿ ಹೋಟೆಲ್ (ಟುವರ್ಡ್ಸ್   ಓಎಂಬಿಆರ್‌ ಬಡಾವಣೆ)
stops,stop_name,34700,kn,ಎಸ್‌ಆರ್‌ಆರ್‌ ಕಲ್ಯಾಣ ಮಂಟಪ (ಟುವರ್ಡ್ಸ್  ಓಎಂಬಿಆರ್‌ ಬಡಾವಣೆ)
stops,stop_name,23247,kn,ಬಿ ಚನ್ನಸಂದ್ರ (ಟುವರ್ಡ್ಸ್  ಓಎಂಬಿಅರ್‌ ಬಡಾವಣೆ)
stops,stop_name,33562,kn,ಕೊನಸಂದ್ರ ಕ್ರಾಸ್ (ಟುವರ್ಡ್ಸ್  ಒಟಿಐಎಸ್ ಸರ್ಕಲ್)
stops,stop_name,36343,kn,ಘಟಕ-27 ಗೇಟ್ (ಟುವರ್ಡ್ಸ್  ಓ ಟಿ ಐ ಎಸ್‌  ವೃತ್ತ ಜಿಗಣಿ)
stops,stop_name,39659,kn,ಸರಪುರ ಕ್ರಾಸ್ (ಟುವರ್ಡ್ಸ್  ಒಬನಾಯಕನಹಳ್ಳಹಳ್ಳಿ)
stops,stop_name,24678,kn,ಚೌಡೇಶ್ವರಿ ದೇವಸ್ಥಾನ (ಟುವರ್ಡ್ಸ್  ಓಕಳಿಪುರ)
stops,stop_name,29791,kn,ಬಾಷ್ಯಂನಗರ ಓಕಳಿಪುರ (ಟುವರ್ಡ್ಸ್  ಓಕಳಿಪುರ)
stops,stop_name,34712,kn,ಸುಬ್ರಮಣ್ಯನಗರ ಕ್ರಾಸ್ (ಟುವರ್ಡ್ಸ್  ಓಕಳಿಪುರ)
stops,stop_name,22923,kn,ಶ್ರೀರಾಮಪುರ 5ನೇ ಅಡ್ಡರಸ್ತೆ (ಟುವರ್ಡ್ಸ್  ಓಕಳಿಪುರಂ)
stops,stop_name,29415,kn,ಶ್ರೀರಾಂಪುರ 7ನೇ ಕ್ರಾಸ್ (ಟುವರ್ಡ್ಸ್  ಓಕಳಿಪುರಂ)
stops,stop_name,25675,kn,ಹೆಚ್‌ಎಎಲ್‌ ಮುಖ್ಯದ್ವಾರ (ಟುವರ್ಡ್ಸ್  ಹಳೇ ವಿಮಾನ ನಿಲ್ದಾಣ ರಸ್ತೆ)
stops,stop_name,28180,kn,ಸತ್ಯ ನಗರ (ಟುವರ್ಡ್ಸ್  ಹಳೇ ಬೈಯಪ್ಪನಹಳ್ಳಿ)
stops,stop_name,22000,kn,ಇಂದಿರಾನಗರ 6ನೇ ಮುಖ್ಯರಸ್ತೆ (ಟುವರ್ಡ್ಸ್  ಹಳೇ ಮದ್ರಾಸು ರಸ್ತೆ)
stops,stop_name,39474,kn,ಎಸಿ ಹಾಸ್ಪಿಟಲ್ ಇಂದಿರಾನಗರ (ಟುವರ್ಡ್ಸ್  ಓಲ್ಡ್ ಮದ್ರಾಸ್ ರೋಡ್)
stops,stop_name,22389,kn,ಇಂದಿರಾನಗರ ಆರಕ್ಷಕ ಠಾಣೆ/ಕೆಎಫ್‌ಸಿ (ಟುವರ್ಡ್ಸ್  ಹಳೇ ಮದ್ರಾಸು ರಸ್ತೆ)
stops,stop_name,31264,kn,ಕೃಷ್ಣ ಗಾರ್ಡನ್‌ ಬಿ ಹೆಚ್‌ ಇ ಎಲ್‌ ಬಡಾವಣೆ (ಟುವರ್ಡ್ಸ್  ಓಂಕಾರ್‌ ಹಿಲ್ಸ್)
stops,stop_name,36801,kn,ಶ್ರೀನಿವಾಸಪುರ ಕ್ರಾಸ್ (ಟುವರ್ಡ್ಸ್  N/A)
stops,stop_name,39583,kn,ಶ್ರೀ ದೇವಿ ಕರುಮಾರಿ ಅಮ್ಮನವರ ದೇವಸ್ಥಾನ (ಟುವರ್ಡ್ಸ್  ಓಂಕಾರ್ ಹಿಲ್ಸ್ ದೇವಸ್ಥಾನ)
stops,stop_name,39977,kn,ಅಂಜನಾಪುರ 6ನೇ ಬ್ಲಾಕ್ (ಲಕ್ಷ್ಮೀವೆಂಕಟೇಶ್ವರ ದೇವಸ್ಥಾನ) (ಟುವರ್ಡ್ಸ್  ಒಂಟಿಮನೆ)
stops,stop_name,22044,kn,ಹೊಸಕೆರೆಹಳ್ಳಿ ಕ್ರಾಸ್ (ಟುವರ್ಡ್ಸ್  ಔಟರ್‌ ರಿಂಗ್‌ ರಸ್ತೆ)
stops,stop_name,37682,kn,ಬಾಟಾ ಶೋ ರೂಮ್ ಬನಶಂಕರಿ (ಟುವರ್ಡ್ಸ್  ಬನಶಂಕರಿ ಬಿಡಿಎ ಕಾಂಪ್ಲೆಕ್ಸ್)
stops,stop_name,20572,kn,ಬಿಟಿಎಂ ಬಡಾವಣೆ 16 ನೇ ಮುಖ್ಯ ರಸ್ತೆ (ಟುವರ್ಡ್ಸ್   ಸೆಂಟ್ರಲ್ ಸಿಲ್ಕ್ ಬೋರ್ಡ್)
stops,stop_name,20687,kn,ಕುವೆಂಪುನಗರ ( ಬಿಟಿಎಂ ಬಡಾವಣೆ) (ಟುವರ್ಡ್ಸ್   ಸೆಂಟ್ರಲ್ ಸಿಲ್ಕ್ ಬೋರ್ಡ್)
stops,stop_name,20719,kn,ಚಿಕ್ಕಕುಕ್ಕನಹಳ್ಳಿ (ಟುವರ್ಡ್ಸ್  ದೊಡ್ಡಿ)
stops,stop_name,22379,kn,ಪೆರಿಯಾರ್ ನಗರ ವೃತ್ತ (ಟುವರ್ಡ್ಸ್   ಡೊಡ್ಡಿ)
stops,stop_name,21859,kn,ಕೋಲ್ಸ್ ಪಾರ್ಕ್ (ಟುವರ್ಡ್ಸ್  ದೊಡ್ಡಿ)
stops,stop_name,26644,kn,ಶ್ರೀನಿವಾಗಿಲು ಬಸ್ ನಿಲ್ದಾಣ (ಟುವರ್ಡ್ಸ್  ಕೊನೆಯ ನಿಲ್ದಾಣ)
stops,stop_name,22836,kn,ಯಶವಂತಪುರ (ಟುವರ್ಡ್ಸ್  ಯಶವಂತಪುರ ರೈಲ್ವೇ ನಿಲ್ದಾಣ)
stops,stop_name,35595,kn,2 ನೇ ಹಂತ 9 ನೇ ಬ್ಲಾಕ್‌ ನಾಗರಭಾವಿ (ಟುವರ್ಡ್ಸ್  2 ನೇ ಹಂತ 9 ನೇ ಬ್ಲಾಕ್‌ ನಾಗರಭಾವಿ)
stops,stop_name,37132,kn,ಜಯನಗರ 9ನೇ ಬ್ಲಾಕ್ (ಟುವರ್ಡ್ಸ್  4ನೇ ಟಿ ಬ್ಲಾಕ್)
stops,stop_name,24707,kn,ಸಿಎಂಹೆಚ್‌ ಆಸ್ಪತ್ರೆ (ಟುವರ್ಡ್ಸ್  80 ಅಡಿ ರಸ್ತೆ ಇಂದಿರಾನಗರ)
stops,stop_name,29540,kn,ಅನ್ನಪೂರ್ಣೇಶ್ವರಿ ನಗರ ಕ್ರಾಸ್ (ಟುವರ್ಡ್ಸ್  ಎ ಐ ಟಿ ಕಾಲೇಜ್)
stops,stop_name,35371,kn,ರಾಯಸಂದ್ರ (ಟುವರ್ಡ್ಸ್  ಎಸಿಟಿಎಸ್‌ ಕಾಲೇಜು)
stops,stop_name,27501,kn,ನೊಬೊ ನಗರ (ಟುವರ್ಡ್ಸ್  ಎಇಸಿಎಸ್ ದಂತ ಮಹಾವಿದ್ಯಾಲಯ)
stops,stop_name,25096,kn,ದೊಡ್ಡಕಮ್ಮನಹಳ್ಳಿ (ಟುವರ್ಡ್ಸ್  ಎಇಸಿಎಸ್ ಡೆಂಟಲ್ ಕಾಲೇಜು)
stops,stop_name,29451,kn,ಎಇಸಿಎಸ್‌ ಬಡಾವಣೆ ಸಿಂಗಸಂದ್ರ (ಟುವರ್ಡ್ಸ್  ಎಇಸಿಎಸ್‌ ಬಡಾವಣೆ)
stops,stop_name,23014,kn,ಎಜಿಎಸ್‌ ಬಡಾವಣೆ ಕ್ರಾಸ್ (ಟುವರ್ಡ್ಸ್  ಎಜಿಎಸ್‌ ಬಡಾವಣೆ)
stops,stop_name,40384,kn,ಉಲ್ಲಾಳ ಬಸ್ತಿ (ಟುವರ್ಡ್ಸ್  ಎ ಜಿ ಎಸ್‌ ಲೆಔಟ್)
stops,stop_name,40385,kn,ಫೆಡರಲ್‌ ಬ್ಯಾಂಕ್ (ಟುವರ್ಡ್ಸ್  ಎ ಜಿ ಎಸ್‌ ಲೇಔಟ್)
stops,stop_name,25357,kn,ಗವಿಯಪ್ಪ ತಿಮ್ಮಯ್ಯ ಬಡಾವಣೆ (ಟುವರ್ಡ್ಸ್  ಎಜಿಎಸ್‌ ಬಡಾವಣೆ ಅರೇಹಳ್ಳಿ)
stops,stop_name,35090,kn,ಇಟ್ಟಮಡು (ಟುವರ್ಡ್ಸ್  ಎಜಿಎಸ್ ಬಡಾವಣೆ ಕ್ರಾಸ್)
stops,stop_name,21747,kn,ಯೂನಿವರ್ ಸಿಟಿ ಕ್ವಾರ್ಟರ್ಸ್ (ಟುವರ್ಡ್ಸ್  ಎಐಟಿ ಕಾಲೇಜ್)
stops,stop_name,21581,kn,ಎನ್‌ ಜಿ ಇ ಎಫ್‌ ಬಡಾವಣೆ ನಾಗರಭಾವಿ (ಟುವರ್ಡ್ಸ್  ಎಐಟಿ ಕಾಲೇಜು)
stops,stop_name,21629,kn,12ನೇ ಬ್ಲಾಕ್ ನಾಗರಭಾವಿ (ಟುವರ್ಡ್ಸ್  ಎಐಟಿ ಕಾಲೇಜ್)
stops,stop_name,22249,kn,ಮಾನಸ ನಗರ (ಟುವರ್ಡ್ಸ್  ಎ ಐ ಟಿ ಕಾಲೇಜು)
stops,stop_name,35384,kn,ನಾಗರಭಾವಿ ವೃತ್ತ (ಟುವರ್ಡ್ಸ್  ಎಐಟಿ ಕಾಲೇಜು)
stops,stop_name,24133,kn,ಸಂಪಂಗಿರಾಮ ನಗರ (ಟುವರ್ಡ್ಸ್  ಎ ಎಂ ಸಿ ಕಾಲೇಜು)
stops,stop_name,24132,kn,ರಾಯನ್ ಇಂಟರ್ನೇಷನಲ್ ಸ್ಕೂಲ್ (ಟುವರ್ಡ್ಸ್  ಎಎಂಸಿ ಕಾಲೇಜ್)
stops,stop_name,23618,kn,ಹಾರೋಹಳ್ಳಿ ಘಟಕ (ಟುವರ್ಡ್ಸ್  ಎಪಿಎಸ್‌ ಕಾಲೇಜು)
